,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2045-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Abilene Christian,1,30,,,,,,,,,,,14,15,,,,,,,
Akron,2,25,,,,,,12,13,14,,13,,,,,,,,12,
Alabama,3,20,,,,,,4,2,4,1,6,2,,9,,,,,,9
Alabama State,4,19,,,,,,,16,,,,,,,,,,,,
Albany,5,17,,,,,,,,,,,,,,,,14,16,15,
American,6,16,,,,,,,,,,,,,,,,,15,,
Appalachian State,7,15,,,,,,,16,,,,16,,,,,,,,
Arizona,8,14,,,,,,1,4,2,2,1,,,,2,6,2,1,6,
Arizona State,9,13,,,,,,,,,11,,,11,11,,,,10,,
Arkansas,10,12,,,,,,4,10,4,8,4,3,,7,8,,5,,,
Auburn,11,11,,,,,,,1,,9,2,,5,4,,,,,,
Austin Peay,12,10,,,,,,,,,,,,,,,16,,,,
Baylor,13,4,,,,,,,9,3,3,1,1,9,,3,5,3,6,,3
Belmont,14,3,,,,,,,,,,,,11,,,,15,,11,14
Boise State,15,2,,,,,,,,10,10,8,,,,,,11,,13,
Boston University,16,1,,,,,,,,,,,,,,,,,,,
Bradley,0,0,,,,,,,,,,,,15,,,,,,,
Brigham Young,,,,,,,,6,6,6,,,6,,,,,11,10,,14
Bryant,,,,,,,,,15,,,16,,,,,,,,,
Bucknell,,,,,,,,,,,,,,,14,13,,,,11,
Buffalo,,,,,,,,,,,,,,6,13,,14,12,,,
Butler,,,,,,,,,,,,,,,10,4,9,6,,6,
Cal Baptist,,,,,,,,13,,,,,,,,,,,,,
Cal Poly,,,,,,,,,,,,,,,,,,,16,,
Cal State Bakersfield,,,,,,,,,,,,,,,,,15,,,,
Cal State Fullerton,,,,,,,,,,,,15,,,15,,,,,,
California,,,,,,,,,,,,,,,,,4,,,12,12
Central Florida,,,,,,,,10,,,,,,9,,,,,,,
Charleston,,,,,,,,,,13,12,,,,13,,,,,,
Chattanooga,,,,,,,,,,,,13,,,,,12,,,,
Cincinnati,,,,,,,,,,,,,,7,2,6,9,8,5,10,6
Clemson,,,,,,,,8,5,6,,,7,,5,,,,,,
Cleveland State,,,,,,,,,,,,,15,,,,,,,,
Coastal Carolina,,,,,,,,,,,,,,,,,,16,16,,
Colgate,,,,,,,,,,14,15,14,14,15,,,,,,,
Colorado,,,,,,,,,,10,,,5,,,,8,,8,10,11
Colorado State,,,,,,,,,12,10,,6,,,,,,,,8,11
Connecticut,,,,,,,,2,8,1,4,5,7,,,,9,,7,,9
Creighton,,,,,,,,,9,3,6,9,5,,8,6,,,3,7,8
Davidson,,,,,,,,,,,,10,,,12,,,10,,14,13
Dayton,,,,,,,,,,7,,,,,,7,7,11,11,,
Delaware,,,,,,,,,,,,15,,,,,,,13,,
